BQB,CQOAC,CWPU,DTOT,EMWB,GGOC,IGRIG,IRKXL,IZQLN,JFG,KBJZN,MBTTD,MOSWO,PDTOU,PVAU,QPESE,RJK,TBILLJMD,TBILLUSD,TIHE,WBG,XEAK,XKFZ,XPMCJ,YTR
0.01586504,0.018761292,0.000645302,0.006181358,0.019261118,0.005076056,0.011091532,0.004055541,0.023617677,-0.005719152,0.04060225,0.024211171,0.01883734,0.006623494,0.000923471,-0.004066098,0.022433478,0.000151677,6.81e-05,0.0280016,0.018883582,0.016878579,0.027093799,0.006992176,0.029575098
0.019078101,0.019450105,0.00048197,0.006194285,0.022464176,0.012381153,0.011642956,0.005426116,0.026108976,-0.006791745,0.024211171,0.03426201,0.022896618,0.012231101,0.00088577,-0.003629577,0.022829087,0.000168222,1.58e-05,0.021917496,0.01783609,0.016829845,0.021531535,0.011191295,0.035211298
0.049005664,0.051744391,0.000485014,0.004175553,0.058408137,0.012851924,0.020076215,0.005163684,0.021184187,-0.005329932,0.01883734,0.022896618,0.08271376,0.013580137,0.000434216,-0.003667372,0.070587284,0.000189669,0.000578644,0.020907852,0.063712959,0.01421331,0.021222812,0.012566556,0.031317191
0.008776071,0.009204033,0.00069688,0.003721213,0.009891354,0.018820907,0.007766895,0.002638713,0.01043162,-0.00226121,0.006623494,0.012231101,0.013580137,0.02819041,0.00106742,-0.001001711,0.012314619,0.000171249,-5.07e-05,0.004701456,0.011913999,0.011142039,0.005838407,0.021088607,0.015338655
0.000498019,0.000556264,0.000571388,0.002557071,0.000961168,0.000972599,0.002425016,0.001991919,0.00058175,0.002962346,0.000923471,0.00088577,0.000434216,0.00106742,0.00131044,0.001953332,0.000475833,4.99e-05,1.8e-05,0.000706534,0.000462187,0.002535544,0.000609489,0.000964761,0.000756845
-0.001652621,-0.001884205,0.001110464,0.004575393,-0.001808444,-0.001013127,0.004115431,0.003621135,-0.003458517,0.007379161,-0.004066098,-0.003629577,-0.003667372,-0.001001711,0.001953332,0.00570025,-0.003136911,-0.000130772,4.12e-05,-0.003662453,-0.003361489,0.002569105,-0.003269303,-0.001474964,-0.004507504
0.04726777,0.050302732,0.000499992,0.006161817,0.057202595,0.014439478,0.017096679,0.003573476,0.018746328,-0.004538506,0.022433478,0.022829087,0.070587284,0.012314619,0.000475833,-0.003136911,0.07845601,0.000131947,0.000519993,0.020457164,0.063877954,0.017031183,0.017153319,0.011458092,0.028583044
4.86e-05,0.000143,2.27e-05,6.95e-05,0.000103,0.000135,0.000134319,5.24e-05,0.000146808,-0.000172325,0.000151677,0.000168222,0.000189669,0.000171249,4.99e-05,-0.000130772,0.000131947,0.00015129,1.74e-05,0.000140962,0.00011,0.000153041,0.000150072,0.000170943,0.000219204
0.000307342,0.000400596,1.51e-05,6.08e-05,0.000493696,-5.32e-05,0.000154,3.14e-05,3.34e-05,3.76e-05,6.81e-05,1.58e-05,0.000578644,-5.07e-05,1.8e-05,4.12e-05,0.000519993,1.74e-05,5.04e-05,5.48e-05,0.000542694,7.67e-05,1.71e-05,-8.73e-05,2.16e-05
0.015192476,0.015736282,0.000557199,0.005973558,0.020347065,0.005487184,0.010938541,0.0047319,0.021518227,-0.004342052,0.0280016,0.021917496,0.020907852,0.004701456,0.000706534,-0.003662453,0.020457164,0.000140962,5.48e-05,0.03594816,0.018809961,0.016555555,0.026756893,0.004720461,0.026408817
0.040240293,0.04442535,0.000410451,0.004896902,0.049836254,0.011512132,0.014768812,0.002653255,0.019668796,-0.004246896,0.018883582,0.01783609,0.063712959,0.011913999,0.000462187,-0.003361489,0.063877954,0.00011,0.000542694,0.018809961,0.06295081,0.015953156,0.015613131,0.010813938,0.025641237
0.01307913,0.016204966,0.001502278,0.006507278,0.015587671,0.010367701,0.014317093,0.00510792,0.017171239,0.003352124,0.016878579,0.016829845,0.01421331,0.011142039,0.002535544,0.002569105,0.017031183,0.000153041,7.67e-05,0.016555555,0.015953156,0.03157729,0.014327349,0.014032769,0.017707888
0.011571251,0.014698582,0.000425795,0.005613914,0.019305124,0.004321323,0.01082585,0.003133918,0.020272171,-0.005690934,0.027093799,0.021531535,0.021222812,0.005838407,0.000609489,-0.003269303,0.017153319,0.000150072,1.71e-05,0.026756893,0.015613131,0.014327349,0.03045025,0.005814354,0.024743101
0.009021992,0.012047371,0.000627937,0.00402055,0.011366157,0.019252482,0.008976536,0.002919636,0.011320853,-0.001728702,0.006992176,0.011191295,0.012566556,0.021088607,0.000964761,-0.001474964,0.011458092,0.000170943,-8.73e-05,0.004720461,0.010813938,0.014032769,0.005814354,0.027556,0.014676541
0.019264089,0.021019633,0.000740813,0.008661997,0.027113978,0.011505472,0.014286924,0.007075466,0.028553933,-0.008597284,0.029575098,0.035211298,0.031317191,0.015338655,0.000756845,-0.004507504,0.028583044,0.000219204,2.16e-05,0.026408817,0.025641237,0.017707888,0.024743101,0.014676541,0.04968441
